target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	1187.26	58	10.1491
ApoEc1_719trans	315	178.101	18.4642	21.5384
ApoEc1_750trans	462	1914.05	4	0.434164
ApoEc1_1163trans	324	186.852	0	0
ApoEc1_1164trans	444	305.895	0	0
ApoEc1_1769trans	315	178.101	0	0
ApoEc1_1805trans	375	1324.15	6.46367	1.01412
ApoEc1_2088trans	489	350.84	0	0
ApoEc1_2214trans	300	929.561	0	0
ApoEc1_2672trans	1044	2438.43	71.6029	6.10053
ApoEc1_3432trans	534	2438.78	1.2163	0.103614
ApoEc1_4567trans	399	1688.15	0	0
ApoEc1_4674trans	345	1177.83	131	23.1066
ApoEc1_4919trans	399	1444.19	1.27577	0.183526
ApoEc1_6235trans	339	1071.71	0	0
ApoEc1_6236trans	468	1735.02	3.85753	0.461905
ApoEc1_7080trans	318	919.808	135	30.4919
ApoEc1_7183trans	357	1172.66	0	0
ApoEc1_7368trans	396	1403.25	18.1475	2.68677
ApoEc1_7391trans	306	1037.25	2.24282	0.449218
ApoEc1_7393trans	495	356.81	151.86	88.4204
ApoEc1_7394trans	495	1970.03	0	0
ApoEc1_7491trans	522	1033.22	4.23935	0.852422
ApoEc1_8106trans	522	383.749	14.1446	7.65758
ApoEc1_8303trans	309	539.163	0	0
ApoEc1_8304trans	315	178.101	0	0
ApoEc1_8306trans	399	776.826	0	0
ApoEc1_9284trans	300	987.459	12	2.5247
ApoEc1_9293trans	405	1429.56	10.1303	1.47221
ApoEc1_9488trans	306	169.293	0	0
ApoEc1_9490trans	585	2964.41	2.78545	0.195211
ApoEc1_9620trans	441	706.957	1.54929	0.455289
ApoEc1_10498trans	441	1808.57	437.351	50.2392
ApoEc1_11074trans	468	1995.71	34.0074	3.54016
ApoEc1_11144trans	1032	4499.58	505.502	23.3399
ApoEc1_11145trans	585	2143.78	5.17662	0.501666
ApoEc1_11232trans	348	1198.09	205	35.5479
ApoEc1_11534trans	1137	5942.48	493.579	17.2558
ApoEc1_12163trans	333	497.04	19.3212	8.07591
ApoEc1_12328trans	618	479.749	0	0
ApoEc1_12460trans	357	1260.44	0	0
ApoEc1_12893trans	525	1844.85	3	0.337838
ApoEc1_12985trans	315	178.101	0	0
ApoEc1_13281trans	444	1608.05	0	0
ApoEc1_13282trans	345	207.32	0	0
ApoEc1_13768trans	408	1449.58	0	0
ApoEc1_13869trans	384	1472.19	51.355	7.24716
ApoEc1_13870trans	636	2831.15	8.26455	0.606463
ApoEc1_13871trans	1071	5448.36	10.7092	0.408354
ApoEc1_13873trans	804	665.749	0	0
ApoEc1_13874trans	492	353.81	0	0
ApoEc1_14061trans	855	1980.87	0	0
ApoEc1_14062trans	408	1637.31	732.348	92.9254
ApoEc1_15335trans	462	2235.09	694.185	64.5251
ApoEc1_15850trans	396	1412	27.3957	4.03082
ApoEc1_15852trans	306	1001.11	0	0
ApoEc1_17401trans	900	4564.65	636	28.9466
ApoEc1_17775trans	429	1609.85	15.8494	2.04539
ApoEc1_17959trans	858	4050.72	0	0
ApoEc1_19027trans	543	2573.97	0	0
ApoEc1_19028trans	408	269.919	0	0
ApoEc1_19029trans	1290	3128.2	0	0
ApoEc1_19093trans	651	512.749	0	0
ApoEc1_19094trans	438	1839.04	19.902	2.2483
ApoEc1_19096trans	612	473.749	0	0
ApoEc1_19099trans	588	2451.99	14.5309	1.23118
ApoEc1_19100trans	390	251.942	0	0
ApoEc1_19228trans	321	183.947	0	0
ApoEc1_19229trans	720	3456.01	12.3999	0.7454
ApoEc1_19231trans	303	166.38	0	0
ApoEc1_19336trans	1020	5095.38	2.42698	0.0989548
ApoEc1_19337trans	369	600.997	0	0
ApoEc1_19338trans	354	1212.6	17.9395	3.07354
ApoEc1_19411trans	450	311.869	3.69183	2.45933
ApoEc1_19432trans	297	839.695	5.68229	1.40588
ApoEc1_19433trans	336	985.606	81.3028	17.1376
ApoEc1_19638trans	402	1385.52	160	23.9914
ApoEc1_19748trans	399	1529.1	178.872	24.3026
ApoEc1_20479trans	534	2041.81	82.2691	8.37086
ApoEc1_20482trans	348	1046.6	99.4793	19.7469
ApoEc1_21169trans	357	1349.46	20.01	3.08061
ApoEc1_21921trans	336	198.476	0	0
ApoEc1_21923trans	429	1502.61	13.896	1.92128
ApoEc1_21932trans	399	1344.8	46.1892	7.13559
ApoEc1_21933trans	435	1724.07	0	0
ApoEc1_21940trans	450	837.988	12.363	3.06501
ApoEc1_21941trans	537	2122.89	7.20967	0.705564
ApoEc1_21942trans	303	825.557	18	4.52974
ApoEc1_22156trans	450	1744.25	40.4989	4.82371
ApoEc1_22157trans	333	1045.73	6.11693	1.21524
ApoEc1_22277trans	315	1062.36	2.52611	0.494001
ApoEc1_22279trans	408	269.919	0	0
ApoEc1_22333trans	300	163.52	0	0
ApoEc1_22456trans	519	2075.16	0	0
ApoEc1_22948trans	1068	2357.65	0	0
ApoEc1_22951trans	1347	3079.5	140.6	9.48533
ApoEc1_22957trans	612	473.749	116.638	51.1494
ApoEc1_23142trans	375	1185.14	110	19.2828
ApoEc1_23501trans	309	843.993	0	0
ApoEc1_24213trans	735	3245.71	33.2133	2.12593
ApoEc1_24215trans	546	2471.37	17.9023	1.50494
ApoEc1_24223trans	333	1026.75	0	0
ApoEc1_24224trans	354	547.961	0	0
ApoEc1_25755trans	309	172.235	0	0
ApoEc1_25952trans	366	1397.66	7.8212	1.16257
ApoEc1_25955trans	351	1387.26	0	0
ApoEc1_26262trans	903	1908.66	380.681	41.4363
ApoEc1_26356trans	369	600.04	0	0
ApoEc1_26358trans	315	407.033	40.8598	20.8552
ApoEc1_26866trans	1575	8518.76	0.000485395	1.18377e-05
ApoEc1_27275trans	411	1539.12	0	0
ApoEc1_27315trans	357	219.195	0	0
ApoEc1_27495trans	342	1054.1	4.16815	0.821502
ApoEc1_27909trans	300	163.52	0	0
ApoEc1_28148trans	540	2237.47	34.7423	3.22589
ApoEc1_28303trans	450	1754.8	0	0
ApoEc1_28759trans	342	204.39	0	0
ApoEc1_28784trans	387	1603.29	10.5884	1.37204
ApoEc1_29449trans	312	440.379	1431.61	675.376
ApoEc1_29717trans	315	178.101	0	0
ApoEc1_29768trans	357	1292.26	65	10.4499
ApoEc1_30112trans	336	198.476	7.05896	7.38892
ApoEc1_30245trans	327	1122.53	5	0.92538
ApoEc1_30571trans	315	178.101	0	0
ApoEc1_30661trans	330	192.643	0	0
ApoEc1_30710trans	405	266.942	0	0
ApoEc1_31002trans	342	204.39	0	0
ApoEc1_31053trans	366	228.024	0	0
ApoEc1_31055trans	348	210.249	0	0
ApoEc1_31081trans	705	3074.58	11.9291	0.806064
ApoEc1_31087trans	354	216.213	0	0
ApoEc1_31385trans	456	1729.81	0	0
ApoEc1_31946trans	297	835.476	42	10.4439
ApoEc1_33097trans	300	163.52	0	0
ApoEc1_33163trans	555	2323.35	3.79762	0.339582
ApoEc1_33459trans	501	362.749	0	0
ApoEc2_483trans	432	293.895	0	0
ApoEc2_551trans	906	5035.69	1336.43	55.1358
ApoEc2_1991trans	372	1406.48	92.2029	13.6194
ApoEc2_2087trans	402	1364.34	0	0
ApoEc2_2764trans	531	940.42	57.9443	12.8008
ApoEc2_3194trans	741	602.749	29.7785	10.2639
ApoEc2_3574trans	444	1806.61	5.34157	0.614261
ApoEc2_3575trans	300	819.171	1.54946	0.392964
ApoEc2_3674trans	720	3296.34	0	0
ApoEc2_3675trans	480	1948.77	0	0
ApoEc2_3679trans	300	897.475	1.15196	0.266663
ApoEc2_4073trans	732	1558.81	16.167	2.15468
ApoEc2_4074trans	1704	4339.44	241.43	11.5586
ApoEc2_4402trans	444	1769.04	3.60212	0.423027
ApoEc2_4433trans	384	1411.14	0	0
ApoEc2_4434trans	384	245.963	8.69822	7.34697
ApoEc2_4636trans	339	1098.3	25.9108	4.90125
ApoEc2_5884trans	354	1029.12	135.823	27.4191
ApoEc2_6411trans	1581	8131.74	23.7808	0.607563
ApoEc2_7351trans	1224	6438.34	119.895	3.86879
ApoEc2_7353trans	894	4496.17	193.675	8.9491
ApoEc2_7368trans	372	1295.54	11.8074	1.89343
ApoEc2_7370trans	420	1518.64	35.9056	4.91196
ApoEc2_7465trans	471	918.123	23.3404	5.28148
